# Pflichtmodule
# 1. Semester
InfoPop;
IntroProg;
Compiling Techniques;Algodat;ROrg;Sysprog;
Computer Graphics I;AnaLina;
Computer Security - Big Projekt;
Computer Security - Small Project;
Architektur von Anwendungssystemen;IntroProg;AlgoDat;
Continuous Software Engineering;Architektur von Anwendungssystemen;
Current Topics in Cryptocurrency and Blockchain Networks;Rechnernetze;Verteilte Systeme;Network Architectures - Basics;
DBPRA Datenbankpraktikum;Isda;
DBSEM - Seminar on Advanced Topics in Database and Information Systems;Isda;DBPRA Datenbankpraktikum;AnaLina;
DSPRO Datensystemprojekt;Pflichtmodule;
DW Data Warehousing and Buisness Intelligence;Isda;DBPRA Datenbankpraktikum;
Data Science for Cognitive Neuroscience;
Dependable Embedded Systems;Pflichtmodule;
Distributed Systems Prototyping;???
Einführung in die IT-Sicherheit;Pflichtmodule;
Einführung in die Künstliche Intelligenz;AnaLina;Stoch;IntroProg;
Embedded Systems Security Lab;IntroProg;ROrg;DS;
Entwurf eingebetteter Systeme;Architektur Eingebetteter Systeme;
Foundations of Data Literacy and Data Science;Stoch;
Grundlagen der Rechnersicherheit;Pflichtmodule;
Grundlagen des Softwaretestens;Swtpp;IntroProg;
Hacking Innovation Bias;
History of Computer Systems;
Hot Topics in Scalable Software Systems;Anwendungssystemen;
IT Security Lab: Vulnerability Assessment;???;
Implementierung digitaler Systeme zur Echtzeit-Signalverarbeitung;
Information systems Prototyping;???;
Intelligente Software Systeme;
International Information Security Contest;Grundlagen der Rechnersicherheit;???;
Internet and Network Security;Network Architectures - Basics;
Introduction into Interactive Theorem Proving;Logik;
Introduction to Camera Geometry;Wire;AnaLina;
Klassische Algorithmen der Computer-Graphik;AnaLina;AlgoDat;Wire;
Kognitive algorithmen;AnaLina;
Künstliche Intelligenz: Grundlagen und Anwendungen;Logik;AlgoDat;BeKo;
Künstliche Intelligenz: Grundlagen, Anwendungen und Seminar;Logik;AlgoDat;BeKo;
Lambda-Kalkül und Typ-Systeme;Logik;
Large-scale Data Engineering;???;
Machine Learning and Communications;
Machine Learning and Security - Bachelor Seminar;
Mensch und Maschiene: Wie künstliche Intelligenz unser Leben verändert;
Modellgetriebene Software-Entwicklung;Swtpp;
Multimedia and Wireless Lab;Network Architectures - Basics;
Multimodal Interaction;
Natural Language Processing in Humans and Machines;
Network Architectures - Bachelor Praxis;Rechnernetze;Verteilte Systeme;
Network Architectures - Basics;Pflichtmodule;
Network Architectures - Seminar;Rechnernetze;Verteilte Systeme;Network Architectures - Basics;
Networked Systems Specialization (small);Network Architectures - Basics;
Open Distributed Systems-Seminar;Pflichtmodule;
Privacy Prototyping;
Programmierpraktikum: Verteilte Systeme;Pflichtmodule;
Project Large-scale Data Engineering;???;
Projekt: Symbolische Künstliche Intelligenz;Künstliche Intelligenz: Grundlagen und Anwendungen;
Projektorientierte App- und Web-Entwicklung;
Quality & Usability;
ROC Foundations for Graduate Research in Data Management and Machine Learning Systems;Isda;DBPRA Datenbankpraktikum;AnaLina;Stoch;???;
Radio Astronomy Project (SIERRA);???;
Robotics: Fundamentals;AlgoDat;
GLET;
"Satellite communication Project (SIERRA; aka. Projekt Amateurfunk)";GLET;???;
Secure Cryptography;Pflichtmodule;
Selected Topics in Natural Language Processing;
Seminar Aktuelle Forschung Batterien;Grundlagen Batterietechnik;
Seminar Energiespeichertechnik;Grundlagen Batterietechnik;
Seminar Large-scale Data Engineering;???;
Seminar: Aktuelle Forschungsthemen in Programmiersprachen und Compielern;Pflichtmodule;
Smart Communication Systems;
Software Engineering cyber physischer Systeme;Pflichtmodule;
Speech Signal Processing and Speech Technology;
Study Project Quality & Usability;
The AMOS Project - Product Owner Role;Swtpp;???;
The AMOS Project - Software Developer Role;???;
The AMOS Project - Scrum Master Role;The Amos Project - Product Owner Role;The AMOS Project - Software Developer Role;
The Software Horror Picture Show;InfoPop;
Usability Engineering;
Websecurity;Rechnernezte;Verteilte Systeme;???;
Webtechnologien;IntroProg;
Wireless networking Technologies;Rechnernezte;
Wissenschaftliches Arbeiten in der Elektrotechnik. Eine Einführung.;
World of Proofcraft;AnaLina;

# Praktika
Programmierpraktikum algorithm Engineering;TODO;


# Master > Studiengebiete > Ddata and Software Engineering

Advanced Algorithmics;AlgoTheo;BeKo;
Advanced Blockchain Prototyping;Verteilte Systeme;
Advanced Cloud Prototyping;???;
Advanced Computer Architecture;ROrg;
Advanced Distributed System Prototyping;Verteilte Systeme;
Advanced Information System Prototyping;???;
Advanced Privacy Prototyping;Verteilte Systeme;
Algebraic Process Calcui;ForSa;DS;BeKo;Logik;Reaktive Systeme;
Algorithm Engineering II;IntroProg;AlgoDat;Swtpp;AlgTheo;Programmierpraktikum Algorithm Engineering;
Algorithmics for Discrete Data Science;AlgoTheo;Advanced Algorithmics;Parameterized Algorithmics;
Parameterized Algorithmics;AlgoTheo;
Algorithmische Bioinformatik;AlgoTheo;BeKo;
Applications of Robotics and Autonomous Systems;
Architecture of Machine Learning Systems;Bachelor;???;
DMH Data Management on Modern Hardware;DBT Database Technology;Bachelor;DBPRA Datenbankpraktikum;	
MDSD Management of Data Streams;Bachelor;???
DBT Database Technology;Isda;DBPRA Datenbankpraktikum;
BDASEM Big Data Analytics Seminar;DBT Database Technology;MDSD Management of Data Streams;DMH Data Management on Modern Hardware;
BDSPRO Big Data Systems Project;DBT Database Technology;Bachelor;AnaLina;Stoch;DBT Data Management on Modern Hardware;DMH Machine Learning;"Machine Learning 1";"Machine Intelligence 1";
Cloud Native Architecture and Engineering;Verteilte Systeme;Swtpp;
Cloud Service benchmarking;Verteilte Systeme;Rechnernetze;???;
Current Research in Algorithms and Complexity;???;
DBTLAB Database Technology Lab;Bachelor;DBPRO Datenbankpraktikum;DBT Database Technology;
DCAITI: Projekt Simulation Vertiefung vernetztes und automatisiertes Fahren;Rechnernetze;
Data Integration and Largescale Analysis;???;
Data Science Project;???;
"Deep Learning 1";
"Deep Learning 1-X";
"Deep Learning 2";"Deep Learning 1";
"Deep Learning 2-X";"Deep Learning 1";
Engineering of Digital Transformation;
Entwicklung verteilter eingebetteter Systeme;Bachelor;
Fog Computing;???;
Foundations of Data Science;
Grundlagen Digitaler Vernetzung;???;
Jounral Club Ethics and Epistemology of AI;
Julia for Machine Learning;AnaLina;IntroProg;
Machine Learning Lab Course;Machine Learning 1;
Machine Learning and Database Management Systems;Machine Intelligence I;Architecture of Machine Learning Systems;
Machien Learning and Security - Master Seminar;???;
Machine Learning and Security - Project;???;
Machine Learning for Computer Security;
Master Project Software Engineering of Embedded Systems;Bachelor;Quality Assurance of Embedded Systems;Analysis and Optimization of Mebdedd Systems;
Multicore Systems;ROrg;
Natrual Language Processing;???;
Project Advanced Reseearch Infrastructures;Webtechnologien;
Project Ethical and Social Challenges of Emerging Technologies: Automation, Robotics, AI;
Projekt Neuronale Informationsverarbeitung;
Python for Machine Learning;DS;AnaLina;???;
Quantum Computing;AnaLina;
Quantum Cryptography;AnaLina;Stoch;
Read Group Cloud Systems;???;
Scalable Software Systems Project;Fog Computing;Cloud Service Benchmarking;
Secure Cryptography;BeKo;DS;
Selected Topics in Data and Software Engineering (ENHANCE Alliance);
Seminar Software and Embedded Systems Engineering;Bachelor;
Intelligent Security Lab;???;
Software Security for Autonomous Systems;
Quality Assurance of Embedded Systems;Bachelor;


